Record,Location,X,Y,lon,lat,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
1,MONTREAL RD btwn ELWOOD ST & BECKENHAM LANE,374431.7525,5034393.831,-75.60985141,45.44600659,8/2/2015,23:42,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Beacon Hill South - Cardinal Heights
2,WOODROFFE AVE btwn HWY417 IC127 RAMP63 & HWY417 IC127 RAMP35,362124.3227,5024842.277,-75.76828145,45.36118084,4/9/2015,15:34,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,99 - Other,Carlingwood West - Glabar Park - McKellar Heights
3,OGILVIE RD @ CITY PARK DR E/CSIS HQ ACCESS,374188.7282,5033010.938,-75.61315274,45.43358825,4/14/2015,16:15,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Industrial Park
4,MARCH RD btwn MORGAN'S GRANT WAY & TERRY FOX DR,349672.2116,5023607.39,-75.92732991,45.3509767,4/26/2015,12:52,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,South March
5,EAGLESON RD @ FALLOWFIELD RD,355963.5618,5012592.96,-75.84817976,45.25143627,4/26/2015,3:50,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,01 - Fatal injury,07 - SMV other,Stittsville - Basswood
6,AVIATION PKWY @ OGILVIE RD,373109.7503,5032375.14,-75.62702957,45.42797389,5/8/2015,15:48,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,05 - Turning movement,Industrial Park
7,GREENBANK RD btwn WEST HUNT CLUB RD & FALLOWFIELD RD,362292.7742,5018561.977,-75.76686093,45.30465715,5/9/2015,7:11,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,04 - Sideswipe,Greenbelt
8,MITCH OWENS RD @ DOZOIS RD/LIMEBANK RD,371673.725,5012107.937,-75.64811821,45.24575458,5/15/2015,10:29,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle,Manotick
9,SMYTH RD btwn HAIG DR & SAUNDERSON DR,372684.9726,5029310.478,-75.63287955,45.40044083,11/16/2015,13:08,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Elmvale - Eastway - Riverview - Riverview Park West
10,MEADOWLANDS DR @ VIEWMOUNT DR,363739.6834,5023106.956,-75.74787074,45.34543267,11/8/2015,14:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle,Crestview - Meadowlands
11,LEITRIM RD btwn HIGH RD & ALBION RD,373232.7822,5020218.247,-75.62714184,45.31857915,6/28/2015,5:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,03 - Rear end,Greenbelt
12,RIVERSIDE DR btwn MOONEY'S BAY PL & WALKLEY RD,368428.4413,5024951.729,-75.68780591,45.36162184,7/8/2015,21:58,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Riverside Park
13,ALBION RD @ MITCH OWENS RD,375906.7541,5014804.931,-75.59381572,45.2696064,7/31/2015,21:28,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Osgoode
14,REGIONAL ROAD 174 btwn OR174 IC109 RAMP64 & OR174 IC105 RAMP16,377177.0074,5035769.175,-75.57455915,45.45810216,8/20/2015,13:20,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Greenbelt
15,ALBION RD btwn RIDEAU RD & TULLAMORE ST,375271.3867,5016247.704,-75.60170702,45.28265196,9/6/2015,14:07,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,01 - Approaching,Greenbelt
16,HIGHWAY 417 btwn HWY 417 ANDERSON IC104R61 & HWY 417 BOUNDARY IC96R16,385018.7705,5024970.493,-75.47606378,45.36008863,12/4/2015,9:18,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Greenbelt
17,BELMEADE RD btwn 6TH LINE RD & BANK ST,387487.956,5000857.893,-75.44856269,45.14285334,8/13/2015,20:06,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,01 - Fatal injury,05 - Turning movement,Metcalfe
18,HIGHWAY 417 btwn HWY417 IC120B RAMP36 & HWY417 IC119B RAMP76,367788.1392,5030022.837,-75.69533122,45.40730812,7/1/2015,22:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,The Glebe
19,RIVER RD btwn KILBY LANE & WATERFRONT CRT,372231.9046,5007565.815,-75.64162387,45.20483196,11/12/2015,19:07,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Manotick
20,GREENBANK RD btwn WEST HUNT CLUB RD & FALLOWFIELD RD,362289.676,5018557.408,-75.76690096,45.3046163,12/25/2015,16:12,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,01 - Fatal injury,01 - Approaching,Greenbelt
21,HAWTHORNE RD @ HUNT CLUB RD,375509.6776,5026407.011,-75.59721892,45.37403731,5/4/2015,3:22,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Industrial Park
22,HAWTHORNE RD btwn HAWTHORNE RD & WHYTE SIDE RD,375547.9105,5026313.196,-75.59674428,45.37318935,1/13/2015,21:40,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Greenbelt
23,HAWTHORNE RD @ HUNT CLUB RD,375508.7138,5026404.12,-75.59723163,45.37401139,2/25/2015,14:18,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
24,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,379860.7425,5036470.135,-75.5401416,45.46412571,2/8/2015,1:41,03 - Snow,06 - Ice,11 - Roundabout,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Chapel Hill
25,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,379860.7425,5036471.099,-75.54014145,45.46413438,4/13/2015,19:18,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,07 - Dark,02 - Non-fatal injury,04 - Sideswipe,Chapel Hill
26,HUNT CLUB RD btwn NORTH BOWESVILLE RD & BILLY BISHOP PRIV,368735.4913,5022355.616,-75.68422258,45.3382347,2/1/2015,18:17,01 - Clear,02 - Wet,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,02 - Angle,Hunt Club - Ottawa Airport
27,RICHMOND RD btwn LOVITT RD & HIGHFIELD CRES,359678.6697,5023819.55,-75.79961022,45.35217407,1/21/2015,18:33,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Whitehaven - Queensway Terrace North
28,CITY PARK DR btwn AMBASSADOR AVE & OGILVIE RD,374274.4774,5032833.875,-75.6120819,45.43198662,3/13/2015,8:54,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Industrial Park
29,ST. LAURENT BLVD btwn TO BE DETERMINED & DWELLINGHAM PRIV,373489.5585,5029087.75,-75.6226345,45.39835835,3/15/2015,7:58,03 - Snow,04 - Slush,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Hawthorne Meadows
30,DONALD ST btwn MARGUERITE AVE & VANIER PKWY,370270.2673,5032265.284,-75.66332762,45.427257,2/21/2015,12:28,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Overbrook
31,HINES RD btwn INNOVATION DR & SOLANDT RD,350113.9345,5022798.601,-75.92176692,45.34367064,2/4/2015,11:50,03 - Snow,03 - Loose snow,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,03 - Rear end,South March
32,ROBERTSON RD btwn HAZELDEAN RD & HAANEL DR,354131.1444,5018696.548,-75.87091657,45.30648867,1/19/2015,7:51,05 - Drifting Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,Greenbelt
33,MEADOWLANDS DR/TALLWOOD DR @ WOODROFFE AVE,363054.7619,5022730.976,-75.75665455,45.34210684,2/22/2015,20:34,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Crestview - Meadowlands
34,BASELINE RD @ CLYDE AVE,364356.7756,5024890.031,-75.73978193,45.36142442,1/20/2015,11:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Braemar Park - Bel Air Heights - Copeland Park
35,BANK ST @ ERIE AVE,370134.4542,5026480.926,-75.66582933,45.37522416,2/26/2015,14:07,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
36,MERIVALE RD @ WEST HUNT CLUB RD,365613.6591,5021942.016,-75.72410229,45.33479073,1/28/2015,12:18,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
37,GREENBANK RD btwn JOCKVALE RD & CAMBRIAN RD,364348.3279,5013859.648,-75.74121537,45.26217441,1/20/2015,15:12,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,New Barrhaven
38,MACDONALD ST btwn WAVERLEY ST & FRANK ST,368621.194,5031127.501,-75.68454705,45.41717205,1/6/2015,12:17,01 - Clear,04 - Slush,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Golden Triangle
39,BAY ST @ WELLINGTON ST,366814.698,5031351.085,-75.70759853,45.41934624,1/19/2015,18:00,01 - Clear,03 - Loose snow,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Downtown
40,MONTREAL RD @ DEN HAAG DR/LANG'S RD,372386.718,5034222.066,-75.63601499,45.44466187,1/20/2015,14:57,01 - Clear,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Carson Grove - Carson Meadows
41,BANK ST @ JOHNSTON RD,370851.7305,5024840.01,-75.65689173,45.3603925,1/22/2015,7:16,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,03 - Dawn,02 - Non-fatal injury,03 - Rear end,South Keys - Heron Gate - Greenboro West
42,BLAIR RD @ REGIONAL RD 174 N/OR174 IC112 RAMP61,374634.4458,5032992.06,-75.60745946,45.43337402,1/19/2015,14:56,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
43,LAFONTAINE AVE @ MCARTHUR AVE,370949.7123,5032772.056,-75.65457758,45.43175279,1/20/2015,20:46,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Vanier South
44,WOODROFFE AVE btwn FIRESTATION & BASELINE RD,362540.0517,5023789.3,-75.76309829,45.35167213,1/26/2015,9:40,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Iris
45,BARRAN ST @ FALLOWFIELD RD,362292.6808,5016244.92,-75.76713072,45.28380823,1/12/2015,8:25,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Barrhaven West - Old Barrhaven
46,LYON ST    N btwn SPARKS ST & WELLINGTON ST,366961.2951,5031408.335,-75.70571832,45.41984835,2/5/2015,9:44,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Downtown
47,UPLANDS DR @ HUNTMASTER LANE/RHAPSODY LANE,369021.3439,5023501.572,-75.68042688,45.34851964,1/13/2015,8:36,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Hunt Club Woods - Quintarra - Revelstoke - Riverside South P
48,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT,376473.6823,5034983.213,-75.58366552,45.45110308,1/21/2015,14:48,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
49,KING EDWARD AVE @ LAURIER AVE,368741.6349,5032034.101,-75.68289065,45.42531832,1/19/2015,17:41,01 - Clear,04 - Slush,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Sandy Hill
